REGWLD,GDPS,SCEN,Value,,,,,
MYS,RealGDPvalch,BAU_aES,-1815.220459,,,,,
NGA,RealGDPvalch,BAU_aES,-1192.333008,,,,,
Oceania,RealGDPvalch,BAU_aES,2421.720703,,,,,
Oth_CEE_CIS,RealGDPvalch,BAU_aES,-311.1834106,,,,,
Oth_Europe,RealGDPvalch,BAU_aES,-1080.488892,,,,,
PAK,RealGDPvalch,BAU_aES,502.6934509,,,,,
PHL,RealGDPvalch,BAU_aES,1294.739746,,,,,
POL,RealGDPvalch,BAU_aES,-651.5635376,,,,,
R_S_Asia,RealGDPvalch,BAU_aES,-961.3596191,,,,,
R_SE_Asia,RealGDPvalch,BAU_aES,-1592.787354,,,,,
Russia,RealGDPvalch,BAU_aES,2168.540772,,,,,
S_o_Amer,RealGDPvalch,BAU_aES,-1223.880615,,,,,
S_S_AFR,RealGDPvalch,BAU_aES,369.0573425,,,,,
TUR,RealGDPvalch,BAU_aES,-821.4470825,,,,,
USA,RealGDPvalch,BAU_aES,-1448.979858,,,,,
VNM,RealGDPvalch,BAU_aES,-299.3630981,,,,,
XAC,RealGDPvalch,BAU_aES,6054.910156,,,,,
ZAF,RealGDPvalch,BAU_aES,-80.71789551,,,,,
World,RealGDPvalch,BAU_aES,-74904.35938,,,,,
ARG,NomGDPvalch,BAU_aES,-1176.6875,,,,,
BGD,NomGDPvalch,BAU_aES,10078.15625,,,,,
BRAZIL,NomGDPvalch,BAU_aES,-182.75,,,,,
C_C_Amer,NomGDPvalch,BAU_aES,-4465.5625,,,,,
CAN,NomGDPvalch,BAU_aES,15087.75,,,,,
CHIHKG,NomGDPvalch,BAU_aES,-87860,,,,,
COL,NomGDPvalch,BAU_aES,6300.3125,,,,,
E_Asia,NomGDPvalch,BAU_aES,393.140625,,,,,
EGY,NomGDPvalch,BAU_aES,-2342.4375,,,,,
ETH,NomGDPvalch,BAU_aES,1633.234375,,,,,
EU27,NomGDPvalch,BAU_aES,-34610,,,,,
IDN,NomGDPvalch,BAU_aES,-4701.875,,,,,
INDIA,NomGDPvalch,BAU_aES,-37136,,,,,
JAPAN,NomGDPvalch,BAU_aES,-27085.5,,,,,
KOR,NomGDPvalch,BAU_aES,-15757.5,,,,,
MAR,NomGDPvalch,BAU_aES,-372.53125,,,,,
MDG,NomGDPvalch,BAU_aES,94.59960938,,,,,
MEAS_NAfr,NomGDPvalch,BAU_aES,74059.5,,,,,
MEX,NomGDPvalch,BAU_aES,3196.5,,,,,
MYS,NomGDPvalch,BAU_aES,514.03125,,,,,
NGA,NomGDPvalch,BAU_aES,20915.75,,,,,
Oceania,NomGDPvalch,BAU_aES,38858.5,,,,,
Oth_CEE_CIS,NomGDPvalch,BAU_aES,6705.375,,,,,
Oth_Europe,NomGDPvalch,BAU_aES,6966.875,,,,,
PAK,NomGDPvalch,BAU_aES,-446.140625,,,,,
PHL,NomGDPvalch,BAU_aES,330.5625,,,,,
POL,NomGDPvalch,BAU_aES,-2945.25,,,,,
R_S_Asia,NomGDPvalch,BAU_aES,-688.203125,,,,,
R_SE_Asia,NomGDPvalch,BAU_aES,-7155.75,,,,,
Russia,NomGDPvalch,BAU_aES,56268.5,,,,,
S_o_Amer,NomGDPvalch,BAU_aES,9017.75,,,,,
S_S_AFR,NomGDPvalch,BAU_aES,7118,,,,,
TUR,NomGDPvalch,BAU_aES,-5811.375,,,,,
USA,NomGDPvalch,BAU_aES,-14488,,,,,
VNM,NomGDPvalch,BAU_aES,1592.46875,,,,,
XAC,NomGDPvalch,BAU_aES,16271.8125,,,,,
ZAF,NomGDPvalch,BAU_aES,269.8125,,,,,
World,NomGDPvalch,BAU_aES,28447.06836,,,,,
ARG,GDPpct,GlOBPES,0.030501291,,,,,
BGD,GDPpct,GlOBPES,-0.062234044,,,,,
BRAZIL,GDPpct,GlOBPES,0.01150051,,,,,
C_C_Amer,GDPpct,GlOBPES,0.026370311,,,,,
CAN,GDPpct,GlOBPES,-7.56E-03,,,,,
CHIHKG,GDPpct,GlOBPES,0.028817428,,,,,
COL,GDPpct,GlOBPES,0.012412416,,,,,
E_Asia,GDPpct,GlOBPES,-0.013510327,,,,,
EGY,GDPpct,GlOBPES,0.267048568,,,,,
ETH,GDPpct,GlOBPES,0.013274909,,,,,
EU27,GDPpct,GlOBPES,8.75E-04,,,,,
IDN,GDPpct,GlOBPES,-0.220382825,,,,,
INDIA,GDPpct,GlOBPES,0.055569578,,,,,
JAPAN,GDPpct,GlOBPES,5.00E-03,,,,,
KOR,GDPpct,GlOBPES,6.75E-03,,,,,
MAR,GDPpct,GlOBPES,0.070199743,,,,,
MDG,GDPpct,GlOBPES,0.070495851,,,,,
MEAS_NAfr,GDPpct,GlOBPES,0.066540673,,,,,
MEX,GDPpct,GlOBPES,1.23E-03,,,,,
MYS,GDPpct,GlOBPES,-0.086111389,,,,,
NGA,GDPpct,GlOBPES,-0.015630739,,,,,
Oceania,GDPpct,GlOBPES,4.73E-03,,,,,
Oth_CEE_CIS,GDPpct,GlOBPES,0.034636367,,,,,
Oth_Europe,GDPpct,GlOBPES,3.95E-03,,,,,
PAK,GDPpct,GlOBPES,-0.0178375,,,,,
